AV1,AV2,AV3,DD_factor,DP_rule,throughput,avgWIP,avgFT,avgTardi,avgLate,Uti_A,Uti_B,Uti_C,Uti_D
69,26,30,1.898913289777568,2,622,3.0195794121393327,34.9122582954054,1.9055072095820402,-10.222040862266013,0.3318055555555556,0.5691666666666667,0.5872700304897117,0.5678938074623593
68,58,32,1.5920588995886857,3,439,1.926738450852435,31.358880828882068,0.7839361440684529,-8.4643510079821,0.1934722222222222,0.41486111111111107,0.43619012113325756,0.48494012113325746
16,80,73,1.4308103316455192,3,610,3.135146884546282,36.87218473083013,5.943386896108895,1.8360963311759093,0.5045833333333334,0.47208333333333335,0.4220833333333333,0.6834653109370553
83,26,67,1.098326883285647,3,500,1.9331658435675654,27.77450256248468,4.3677496105105025,3.4531520590071936,0.3188888888888889,0.44164341360840753,0.44865560933567117,0.3304166666666667
70,70,28,1.8270197253042504,2,454,2.1510069353125307,34.06735938305168,1.1010218573357848,-13.028701950066429,0.17708333333333334,0.43696242193222157,0.45958333333333334,0.5554166666666667
70,58,21,1.9518585974806788,1,524,2.564578765399766,35.17829186034846,0.7254730646376376,-14.910720659351263,0.19236111111111107,0.5107522492019638,0.5431926914264014,0.6261689158686305
21,32,70,1.2368493900413435,1,671,3.060223112315121,32.760804877652355,5.660980068049305,3.97225976041577,0.5261111111111111,0.5397222222222223,0.5062221361772286,0.603027691732784
66,18,33,1.672253472374348,3,781,4.192799618057234,38.65321030731372,6.391584579145996,1.2962239660650334,0.4730555555555556,0.6991666666666667,0.7151388888888889,0.5358333333333333
76,72,62,1.4907708572377683,2,291,1.087473912406946,26.857260223654276,0.22810807385323167,-9.09029683901719,0.15875,0.26458333333333334,0.27051624668620333,0.28441242552203194
77,56,72,1.7176332686269762,3,298,1.0616788181772185,25.651300304952937,0.0,-14.78224794812834,0.18013888888888888,0.26319444444444445,0.26472222222222225,0.26625
57,75,75,1.7311153574326528,3,332,1.3119541568947521,28.45201786036812,0.15780099770412223,-13.642242020817994,0.20680555555555555,0.28763888888888883,0.2838888888888888,0.3429166666666666
68,74,71,1.1535918997377204,2,307,1.1839130612102695,27.766039220566586,1.65899514178932,-0.5664784472588774,0.18222222222222223,0.26944444444444443,0.2680555555555555,0.32750000000000007
14,35,72,1.9837598449878742,3,844,5.333732856528448,45.37073022394491,6.342126289104392,-1.7529677999435134,0.7100621635020236,0.6528399412798014,0.5882566079464681,0.8413121635020235
18,35,52,1.2004103351264064,2,771,4.9904899165260215,46.58603670201981,19.10749792056691,18.258843916948802,0.6033415019670394,0.6170068067060317,0.5741666666666667,0.735
54,64,67,1.8142855593944351,3,359,1.417619757219361,28.38958844562504,0.09849242389040466,-15.891108132130023,0.21861111111111112,0.31305555555555553,0.3115277777777778,0.3758393050813498
50,31,71,1.3190062931536395,1,477,1.7766843712449272,26.817877301810228,1.252869832346086,-2.6952341590468585,0.34179412590705066,0.4022222222222222,0.39402777777777775,0.345
